Location,Time,MRI_Units,CT_Scanners,Hospital_Beds,Hospital_Stay
AUS,1992,1.43,16.71,1.43,6.6
AUS,1994,2.36,18.48,2.36,6.4
AUS,1995,2.89,20.55,2.89,6.5
AUS,1996,2.96,21.95,2.96,6.4
AUS,1997,3.53,23.34,3.53,6.2
AUS,1998,4.51,24.18,4.51,6.1
AUS,1999,6.01,25.52,6.01,6.2
AUS,2000,3.52,26.28,3.52,6.1
AUS,2001,3.79,29.05,3.79,6.2
AUS,2002,3.74,34.37,3.74,6.2
AUS,2003,3.7,40.57,3.7,6.1
AUS,2004,3.76,45.65,3.76,6.1
AUS,2005,4.26,51.54,4.26,6
AUS,2006,4.89,56.72,4.89,5.9
AUS,2009,5.72,39.14,5.72,5.1
AUS,2010,5.67,43.07,5.67,5
AUS,2011,5.6,44.32,5.6,4.9
AUS,2012,5.5,50.5,5.5,4.8
AUS,2013,13.84,53.66,13.84,4.7
AUS,2014,14.65,56.06,14.65,4.7
AUS,2015,14.49,59.54,14.49,4.2
AUS,2016,14.3,63,14.3,4.2
AUS,2017,14.15,64.34,14.15,4.1
AUT,1996,7.54,24.25,7.54,9.5
AUT,1997,8.53,25.23,8.53,8.3
AUT,1998,8.52,26.08,8.52,8.2
AUT,1999,11.01,26.02,11.01,7.8
AUT,2000,10.98,26.09,10.98,7.6
AUT,2001,11.69,26.61,11.69,7.4
AUT,2002,13.36,27.1,13.36,7.3
AUT,2003,13.54,27.21,13.54,7.2
AUT,2004,15.91,29.25,15.91,7.2
AUT,2005,16.16,29.66,16.16,6.9
AUT,2006,16.81,29.87,16.81,6.9
AUT,2007,17.72,30.02,17.72,6.8
AUT,2008,18.03,29.68,18.03,6.8
AUT,2009,18.46,29.36,18.46,6.7
AUT,2010,18.65,29.89,18.65,6.6
AUT,2011,18.71,29.55,18.71,6.5
AUT,2012,19.1,29.77,19.1,6.5
AUT,2013,19.22,29.6,19.22,6.5
AUT,2014,19.66,29.37,19.66,6.5
AUT,2015,20.71,28.93,20.71,6.5
AUT,2016,22.43,29.07,22.43,6.4
AUT,2017,22.96,28.64,22.96,6.4
AUT,2018,23.53,28.84,23.53,6.3
BEL,2003,6.84,10.5,6.84,8
BEL,2004,7,11.23,7,7.9
BEL,2005,6.97,12.79,6.97,7.9
BEL,2006,7.11,12.51,7.11,7.8
BEL,2007,7.53,13.08,7.53,7.7
BEL,2008,10.36,13.91,10.36,7.4
BEL,2009,10.65,14.26,10.65,7.2
BEL,2010,10.65,13.95,10.65,7.2
BEL,2011,10.69,13.77,10.69,7.1
BEL,2012,10.62,15.04,10.62,7
BEL,2013,10.84,22.94,10.84,6.9
BEL,2014,11.78,21.77,11.78,6.9
BEL,2015,11.71,23.59,11.71,6.8
BEL,2016,11.65,23.92,11.65,6.7
BEL,2017,11.6,23.82,11.6,6.6
BEL,2018,11.64,23.89,11.64,6.6
CAN,1990,0.69,7.15,0.69,10.2
CAN,1991,0.78,7.13,0.78,10
CAN,1992,0.99,7.33,0.99,9.9
CAN,1993,1.05,7.53,1.05,9.8
CAN,1994,1.21,7.69,1.21,7.4
CAN,1995,1.37,7.99,1.37,7.2
CAN,1997,1.84,8.19,1.84,7
CAN,2001,4.19,9.77,4.19,7.3
CAN,2003,4.71,10.27,4.71,7.3
CAN,2004,4.92,10.68,4.92,7.3
CAN,2005,5.74,11.57,5.74,7.2
CAN,2006,6.17,12.04,6.17,7.4
CAN,2007,6.75,12.74,6.75,7.5
CAN,2009,7.91,13.8,7.91,7.7
CAN,2010,8.26,14.23,8.26,7.7
CAN,2011,8.53,14.62,8.53,7.6
CAN,2012,8.87,14.69,8.87,7.6
CAN,2013,8.89,14.77,8.89,7.5
CAN,2015,9.52,15.07,9.52,7.4
CAN,2017,10.02,15.35,10.02,7.4
CZE,1991,0.19,2.13,0.19,11.9
CZE,1992,0.39,4.65,0.39,11.6
CZE,1993,0.58,5.71,0.58,11.2
CZE,1994,0.68,6.19,0.68,10.8
CZE,1995,0.97,6.68,0.97,10.2
CZE,2000,1.66,9.65,1.66,7.9
CZE,2005,3.13,12.34,3.13,7.9
CZE,2007,4.37,12.91,4.37,7
CZE,2008,5.01,13.39,5.01,6.7
CZE,2009,5.74,14.17,5.74,6.7
CZE,2010,6.3,14.51,6.3,6.6
CZE,2011,6.86,14.77,6.86,6.4
CZE,2012,6.95,15.03,6.95,6.2
CZE,2013,7.42,15.03,7.42,6
CZE,2014,7.41,15.11,7.41,6
CZE,2015,8.34,16.12,8.34,5.9
CZE,2016,8.52,15.52,8.52,5.9
CZE,2017,9.44,15.76,9.44,5.8
CZE,2018,10.35,16.09,10.35,5.8
DNK,2000,5.43,11.42,5.43,3.8
DNK,2002,8.56,13.77,8.56,3.7
DNK,2003,9.09,14.47,9.09,3.6
DNK,2004,10.18,14.43,10.18,3.4
FIN,1990,1.8,9.83,1.8,7
FIN,1991,2.19,10.17,2.19,7
FIN,1992,2.38,10.51,2.38,6.1
FIN,1993,2.76,11.25,2.76,5.7
FIN,1994,3.34,11.79,3.34,5.6
FIN,1995,4.31,11.75,4.31,5.5
FIN,1996,5.66,12.49,5.66,6
FIN,1997,6.61,12.45,6.61,5.9
FIN,1998,8.34,12.22,8.34,5.9
FIN,1999,9.1,12.78,9.1,5.8
FIN,2000,9.85,13.52,9.85,6.9
FIN,2001,10.99,13.69,10.99,7
FIN,2002,12.5,13.27,12.5,7.1
FIN,2003,13.04,14,13.04,7.1
FIN,2004,13.96,14.15,13.96,7.1
FIN,2005,14.68,14.68,14.68,7.1
FIN,2006,15.19,14.81,15.19,7.2
FIN,2007,15.32,16.45,15.32,7.2
FIN,2009,15.73,20.42,15.73,7
FIN,2010,18.65,21.07,18.65,7
FIN,2011,20.23,21.34,20.23,6.9
FIN,2012,21.61,21.8,21.61,6.9
FIN,2013,22.06,21.7,22.06,6.8
FIN,2014,23.25,21.42,23.25,6.7
FIN,2015,25.91,21.53,25.91,6.6
FIN,2016,25.48,24.2,25.48,6.5
FIN,2017,27.05,24.51,27.05,6.4
FIN,2018,27.38,16.5,27.38,6.4
FRA,1998,1.18,6.64,1.18,5.8
FRA,1999,1.51,7.24,1.51,5.5
FRA,2000,1.65,7.01,1.65,5.6
FRA,2001,1.83,7.37,1.83,5.7
FRA,2002,2.4,7.62,2.4,5.7
FRA,2003,3.17,8.07,3.17,6.1
FRA,2004,3.85,8.78,3.85,6
FRA,2005,4.78,10.02,4.78,5.9
FRA,2006,5.19,10.37,5.19,5.9
FRA,2007,5.48,10.32,5.48,5.9
FRA,2008,6.06,10.84,6.06,5.8
FRA,2009,6.43,11.08,6.43,5.7
FRA,2010,6.96,11.82,6.96,5.8
FRA,2011,7.51,12.53,7.51,5.7
FRA,2012,8.65,13.49,8.65,5.7
FRA,2013,9.4,14.49,9.4,5.6
FRA,2014,10.86,15.32,10.86,5.6
FRA,2015,12.56,16.57,12.56,5.6
FRA,2016,13.55,16.95,13.55,5.5
FRA,2017,14.21,17.36,14.21,5.4
FRA,2018,14.77,17.68,14.77,5.4
DEU,2000,14.32,24.61,14.32,10.1
DEU,2001,15.96,25.19,15.96,9.8
DEU,2002,17.51,27.06,17.51,9.6
DEU,2003,18.48,27.55,18.48,9.3
DEU,2004,18.97,28.71,18.97,8.9
DEU,2005,19.89,29.51,19.89,8.8
DEU,2006,21.39,29.12,21.39,8.7
DEU,2007,22.43,29.73,22.43,8.5
DEU,2008,23.6,31.15,23.6,8.3
DEU,2009,25.15,31.24,25.15,8.2
DEU,2010,27.04,32.32,27.04,8.1
DEU,2011,28.86,33.48,28.86,7.9
DEU,2012,28.66,34.01,28.66,7.8
DEU,2013,28.92,33.72,28.92,7.7
